ID	POP	Lat	Long
1	BLA14	44.91619437	-0.637893677
2	BLA41	44.91619437	-0.637893677
3	BLA42	44.91619437	-0.637893677
4	BLA43	44.91619437	-0.637893677
5	BLA44	44.91619437	-0.637893677
6	BLA45	44.91619437	-0.637893677
7	BLA47	44.91619437	-0.637893677
8	BLA48	44.91619437	-0.637893677
9	BLA100	44.91619437	-0.637893677
10	BLA102	44.91619437	-0.637893677
11	BLA103	44.91619437	-0.637893677
12	BLA104	44.91619437	-0.637893677
13	BLA108	44.91619437	-0.637893677
14	BLA110	44.91619437	-0.637893677
15	BLA111	44.91619437	-0.637893677
16	BLA119	44.91619437	-0.637893677
17	BLA123	44.91619437	-0.637893677
18	BLA124	44.91619437	-0.637893677
19	CUS5	45.89765453	0.856933594
20	CUS6	45.89765453	0.856933594
21	CUS10	45.89765453	0.856933594
22	CUS11	45.89765453	0.856933594
23	CUS12	45.89765453	0.856933594
24	CUS13	45.89765453	0.856933594
25	CUS15	45.89765453	0.856933594
26	CUS18	45.89765453	0.856933594
27	CUS19	45.89765453	0.856933594
28	CUS20	45.89765453	0.856933594
29	CUS21	45.89765453	0.856933594
30	CUS22	45.89765453	0.856933594
31	CUS27	45.89765453	0.856933594
32	CUS29	45.89765453	0.856933594
33	CUS30	45.89765453	0.856933594
34	CUS34	45.89765453	0.856933594
35	CUS35	45.89765453	0.856933594
36	CUS44	45.89765453	0.856933594
37	CUS51	45.89765453	0.856933594
38	CUS53	45.89765453	0.856933594
39	CUS54	45.89765453	0.856933594
40	PAU46	45.20526346	-0.748786926
41	PAU47	45.20526346	-0.748786926
42	PAU48	45.20526346	-0.748786926
43	PAU49	45.20526346	-0.748786926
44	PAU50	45.20526346	-0.748786926
45	PAU51	45.20526346	-0.748786926
46	PAU52	45.20526346	-0.748786926
47	PAU53	45.20526346	-0.748786926
48	PAU62	45.20526346	-0.748786926
49	PAU63	45.20526346	-0.748786926
50	PAU64	45.20526346	-0.748786926
51	PAU65	45.20526346	-0.748786926
52	PAU66	45.20526346	-0.748786926
53	PAU67	45.20526346	-0.748786926
54	PAU68	45.20526346	-0.748786926
55	PAU78	45.20526346	-0.748786926
56	PAU79	45.20526346	-0.748786926
57	PAU80	45.20526346	-0.748786926
58	PAU81	45.20526346	-0.748786926
59	PAU82	45.20526346	-0.748786926
60	PAU83	45.20526346	-0.748786926
61	PAU84	45.20526346	-0.748786926
62	COU230	45.12974228	-0.634460449
63	COU231	45.12974228	-0.634460449
64	COU232	45.12974228	-0.634460449
65	COU234	45.12974228	-0.634460449
66	COU236	45.12974228	-0.634460449
67	COU237	45.12974228	-0.634460449
68	COU238	45.12974228	-0.634460449
69	COU239	45.12974228	-0.634460449
70	COU241	45.12974228	-0.634460449
71	COU243	45.12974228	-0.634460449
72	COU244	45.12974228	-0.634460449
73	COU245	45.12974228	-0.634460449
74	COU248	45.12974228	-0.634460449
75	COU250	45.12974228	-0.634460449
76	COU251	45.12974228	-0.634460449
77	COU254	45.12974228	-0.634460449
78	COU257	45.12974228	-0.634460449
79	COU258	45.12974228	-0.634460449
80	COU259	45.12974228	-0.634460449
81	COU261	45.12974228	-0.634460449
82	COU262	45.12974228	-0.634460449
83	COU263	45.12974228	-0.634460449
84	COU264	45.12974228	-0.634460449
85	COU266	45.12974228	-0.634460449
86	COU268	45.12974228	-0.634460449
87	CGU8	44.91619437	-0.617980957
88	CGU14	44.91619437	-0.617980957
89	CGU16	44.91619437	-0.617980957
90	CGU17	44.91619437	-0.617980957
91	CGU21	44.91619437	-0.617980957
92	CGU23	44.91619437	-0.617980957
93	CGU24	44.91619437	-0.617980957
94	CGU26	44.91619437	-0.617980957
95	CGU27	44.91619437	-0.617980957
96	CGU28	44.91619437	-0.617980957
97	CGU29	44.91619437	-0.617980957
98	CGU30	44.91619437	-0.617980957
99	CGU32	44.91619437	-0.617980957
100	CGU33	44.91619437	-0.617980957
101	CGU34	44.91619437	-0.617980957
102	CGU35	44.91619437	-0.617980957
103	CGU36	44.91619437	-0.617980957
104	CGU38	44.91619437	-0.617980957
105	CGU39	44.91619437	-0.617980957
106	CGU42	44.91619437	-0.617980957
107	CGU43	44.91619437	-0.617980957
108	CGU44	44.91619437	-0.617980957
109	DIJ01	47.33300596	5.0440979
110	DIJ02	47.33300596	5.0440979
111	DIJ03	47.33300596	5.0440979
112	DIJ12	47.33300596	5.0440979
113	DIJ10	47.33300596	5.0440979
114	DIJ11	47.33300596	5.0440979
115	DIJ07	47.33300596	5.0440979
116	DIJ09	47.33300596	5.0440979
117	SAV01	47.07433074	4.821624756
118	SAV04	47.07433074	4.821624756
119	SAV05	47.07433074	4.821624756
120	SAV06	47.07433074	4.821624756
121	SAV07	47.07433074	4.821624756
122	SAV12	47.07433074	4.821624756
123	GNO01	48.25211235	4.649963379
124	GNO02	48.25211235	4.649963379
125	GNO04	48.25211235	4.649963379
126	GNO05	48.25211235	4.649963379
127	GNO08	48.25211235	4.649963379
128	GNO11	48.25211235	4.649963379
129	GNO12	48.25211235	4.649963379
130	GNO13	48.25211235	4.649963379
131	GNO14	48.25211235	4.649963379
132	GNO15	48.25211235	4.649963379
133	GNO16	48.25211235	4.649963379
134	GNO17	48.25211235	4.649963379
135	GNO19	48.25211235	4.649963379
136	GNO20	48.25211235	4.649963379
137	GNO21	48.25211235	4.649963379
138	GNO26	48.25211235	4.649963379
139	GNO27	48.25211235	4.649963379
140	GNO29	48.25211235	4.649963379
141	RTE01	48.20271029	4.449462891
142	RTE02	48.20271029	4.449462891
143	RTE04	48.20271029	4.449462891
144	RTE06	48.20271029	4.449462891
145	RTE08	48.20271029	4.449462891
146	RTE13	48.20271029	4.449462891
147	RTE14	48.20271029	4.449462891
148	RTE15	48.20271029	4.449462891
149	RTE16	48.20271029	4.449462891
150	RTE17	48.20271029	4.449462891
151	RTE18	48.20271029	4.449462891
152	RTE19	48.20271029	4.449462891
153	RTE20	48.20271029	4.449462891
154	RTE21	48.20271029	4.449462891
155	RTE22	48.20271029	4.449462891
156	RTE24	48.20271029	4.449462891
157	RTE25	48.20271029	4.449462891
158	RTE26	48.20271029	4.449462891
159	RTE27	48.20271029	4.449462891
160	RTE28	48.20271029	4.449462891
161	RTE29	48.20271029	4.449462891
162	RTE30	48.20271029	4.449462891
163	BER02	48.90174065	4.004516602
164	BER03	48.90174065	4.004516602
165	BER05	48.90174065	4.004516602
166	BER06	48.90174065	4.004516602
167	BER07	48.90174065	4.004516602
168	BER09	48.90174065	4.004516602
169	BER10	48.90174065	4.004516602
170	BER11	48.90174065	4.004516602
171	BER12	48.90174065	4.004516602
172	BER14	48.90174065	4.004516602
173	BER15	48.90174065	4.004516602
174	BER17	48.90174065	4.004516602
175	BER18	48.90174065	4.004516602
176	BER19	48.90174065	4.004516602
177	BER20	48.90174065	4.004516602
178	BER21	48.90174065	4.004516602
179	BER22	48.90174065	4.004516602
180	BER23	48.90174065	4.004516602
181	BER24	48.90174065	4.004516602
182	BER25	48.90174065	4.004516602
183	BER26	48.90174065	4.004516602
184	BER27	48.90174065	4.004516602
185	BER28	48.90174065	4.004516602
186	ILL01	49.17452152	3.262939453
187	ILL02	49.17452152	3.262939453
188	ILL03	49.17452152	3.262939453
189	ILL04	49.17452152	3.262939453
190	ILL05	49.17452152	3.262939453
191	ILL06	49.17452152	3.262939453
192	ILL07	49.17452152	3.262939453
193	ILL08	49.17452152	3.262939453
194	ILL09	49.17452152	3.262939453
195	ILL10	49.17452152	3.262939453
196	ILL11	49.17452152	3.262939453
197	ILL13	49.17452152	3.262939453
198	ILL14	49.17452152	3.262939453
199	ILL15	49.17452152	3.262939453
200	ILL16	49.17452152	3.262939453
201	ILL17	49.17452152	3.262939453
202	ILL18	49.17452152	3.262939453
203	ILL19	49.17452152	3.262939453
204	ILL20	49.17452152	3.262939453
205	ILL21	49.17452152	3.262939453
206	ILL22	49.17452152	3.262939453
207	ILL23	49.17452152	3.262939453
208	ILL24	49.17452152	3.262939453
209	ILL25	49.17452152	3.262939453
210	ILL26	49.17452152	3.262939453
211	ILL27	49.17452152	3.262939453
212	ILL28	49.17452152	3.262939453
213	ILL30	49.17452152	3.262939453
214	RIL01	49.25346477	4.048461914
215	RIL02	49.25346477	4.048461914
216	RIL03	49.25346477	4.048461914
217	RIL05	49.25346477	4.048461914
218	RIL07	49.25346477	4.048461914
219	RIL08	49.25346477	4.048461914
220	RIL09	49.25346477	4.048461914
221	RIL10	49.25346477	4.048461914
222	RIL11	49.25346477	4.048461914
223	RIL13	49.25346477	4.048461914
224	RIL14	49.25346477	4.048461914
225	RIL15	49.25346477	4.048461914
226	RIL17	49.25346477	4.048461914
227	RIL18	49.25346477	4.048461914
228	RIL19	49.25346477	4.048461914
229	RIL21	49.25346477	4.048461914
230	RIL22	49.25346477	4.048461914
231	RIL23	49.25346477	4.048461914
232	RIL24	49.25346477	4.048461914
233	RIL25	49.25346477	4.048461914
234	RIL27	49.25346477	4.048461914
235	RIL28	49.25346477	4.048461914
236	RIL29	49.25346477	4.048461914
237	RIL30	49.25346477	4.048461914
238	RIL31	49.25346477	4.048461914
239	RIL33	49.25346477	4.048461914
240	RIL34	49.25346477	4.048461914
241	RIL35	49.25346477	4.048461914
242	RIL36	49.25346477	4.048461914
243	RIL37	49.25346477	4.048461914
244	RIL38	49.25346477	4.048461914
245	RIL40	49.25346477	4.048461914
246	VAN02	49.04506962	4.724121094
247	VAN03	49.04506962	4.724121094
248	VAN05	49.04506962	4.724121094
249	VAN06	49.04506962	4.724121094
250	VAN07	49.04506962	4.724121094
251	VAN08	49.04506962	4.724121094
252	VAN09	49.04506962	4.724121094
253	VAN10	49.04506962	4.724121094
254	VAN11	49.04506962	4.724121094
255	VAN12	49.04506962	4.724121094
256	VAN13	49.04506962	4.724121094
257	VAN15	49.04506962	4.724121094
258	VAN16	49.04506962	4.724121094
259	VAN20	49.04506962	4.724121094
260	VAN21	49.04506962	4.724121094
261	VAN24	49.04506962	4.724121094
262	VAN25	49.04506962	4.724121094
263	VAN27	49.04506962	4.724121094
264	VAN30	49.04506962	4.724121094
265	VAN31	49.04506962	4.724121094
266	VAN32	49.04506962	4.724121094
267	VAN33	49.04506962	4.724121094
268	VAN34	49.04506962	4.724121094
269	CFE02	43.01268089	2.373046875
270	CFE04	43.01268089	2.373046875
271	CFE06	43.01268089	2.373046875
272	CFE07	43.01268089	2.373046875
273	CFE08	43.01268089	2.373046875
274	CFE09	43.01268089	2.373046875
275	CFE10	43.01268089	2.373046875
276	CFE11	43.01268089	2.373046875
277	CFE12	43.01268089	2.373046875
278	CFE13	43.01268089	2.373046875
